#FORMAT=8899-SNAPSHOT-1
#MARK=new12
#DATE=20260612
#POOL=Розничное ДУ
#PLANS=17154
#ROWS=85507
#CREATED=20260618095816

ДоговорДУ|План|ГруппаОпераций|ПланПроведен|ТипДокумента|Документ|ДокументПроведен|ВидОперации|Выполнять
f2a8e155-bf99-11f0-b2ca-0050569f27c0|084b77ee-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
f2a8e155-bf99-11f0-b2ca-0050569f27c0|084b77ee-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
f2a8e155-bf99-11f0-b2ca-0050569f27c0|084b77ee-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|084b7887-6ada-11f1-85a8-00505689c994|1||0
f2a8e155-bf99-11f0-b2ca-0050569f27c0|084b77ee-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|084b79c8-6ada-11f1-85a8-00505689c994|1||0
f2a8ee98-bf99-11f0-b2ca-0050569f27c0|084b7801-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
f2a8ee98-bf99-11f0-b2ca-0050569f27c0|084b7801-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
f2a8ee98-bf99-11f0-b2ca-0050569f27c0|084b7801-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
f2a8ee98-bf99-11f0-b2ca-0050569f27c0|084b7801-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|084b78ac-6ada-11f1-85a8-00505689c994|1||0
f2a8ee98-bf99-11f0-b2ca-0050569f27c0|084b7801-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|084b79a2-6ada-11f1-85a8-00505689c994|1||0
583dbfb0-bf9b-11f0-b2ca-0050569f27c0|084b7814-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
583dbfb0-bf9b-11f0-b2ca-0050569f27c0|084b7814-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
583dbfb0-bf9b-11f0-b2ca-0050569f27c0|084b7814-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
