#FORMAT=8899-SNAPSHOT-1
#MARK=
#DATE=20260612
#POOL=Розничное ДУ
#PLANS=17154
#ROWS=85505
#CREATED=20260618115022

ДоговорДУ|План|ГруппаОпераций|ПланПроведен|ТипДокумента|Документ|ДокументПроведен|ВидОперации|Выполнять
8e092c41-bf98-11f0-b2ca-0050569f27c0|2dad8fbe-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|2dad9069-6ae8-11f1-85a8-00505689c994|1||0
f2a8e155-bf99-11f0-b2ca-0050569f27c0|2dad8fd1-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
f2a8e155-bf99-11f0-b2ca-0050569f27c0|2dad8fd1-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
f2a8e155-bf99-11f0-b2ca-0050569f27c0|2dad8fd1-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
f2a8e155-bf99-11f0-b2ca-0050569f27c0|2dad8fd1-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|2dad906a-6ae8-11f1-85a8-00505689c994|1||0
f2a8e155-bf99-11f0-b2ca-0050569f27c0|2dad8fd1-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|2dad913a-6ae8-11f1-85a8-00505689c994|1||0
f2a8ee98-bf99-11f0-b2ca-0050569f27c0|2dad8fe4-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
f2a8ee98-bf99-11f0-b2ca-0050569f27c0|2dad8fe4-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
f2a8ee98-bf99-11f0-b2ca-0050569f27c0|2dad8fe4-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
f2a8ee98-bf99-11f0-b2ca-0050569f27c0|2dad8fe4-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|2dad92ae-6ae8-11f1-85a8-00505689c994|1||0
f2a8ee98-bf99-11f0-b2ca-0050569f27c0|2dad8fe4-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|2dad90b5-6ae8-11f1-85a8-00505689c994|1||0
583dbfb0-bf9b-11f0-b2ca-0050569f27c0|2dad8fe5-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
583dbfb0-bf9b-11f0-b2ca-0050569f27c0|2dad8fe5-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
583dbfb0-bf9b-11f0-b2ca-0050569f27c0|2dad8fe5-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
583dbfb0-bf9b-11f0-b2ca-0050569f27c0|2dad8fe5-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|2dad90b6-6ae8-11f1-85a8-00505689c994|1||0
583dbfb0-bf9b-11f0-b2ca-0050569f27c0|2dad8fe5-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|2dad91e2-6ae8-11f1-85a8-00505689c994|1||0
583dd313-bf9b-11f0-b2ca-0050569f27c0|2dad901d-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
583dd313-bf9b-11f0-b2ca-0050569f27c0|2dad901d-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
583dd313-bf9b-11f0-b2ca-0050569f27c0|2dad901d-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
583dd313-bf9b-11f0-b2ca-0050569f27c0|2dad901d-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|2dad9207-6ae8-11f1-85a8-00505689c994|1||0
583dd313-bf9b-11f0-b2ca-0050569f27c0|2dad901d-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|2dad9101-6ae8-11f1-85a8-00505689c994|1||0
ee651142-bfa0-11f0-b2ca-0050569f27c0|2dad9030-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
ee651142-bfa0-11f0-b2ca-0050569f27c0|2dad9030-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
ee651142-bfa0-11f0-b2ca-0050569f27c0|2dad9030-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
ee651142-bfa0-11f0-b2ca-0050569f27c0|2dad9030-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|2dad90ee-6ae8-11f1-85a8-00505689c994|1||0
ee651142-bfa0-11f0-b2ca-0050569f27c0|2dad9030-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|2dad922c-6ae8-11f1-85a8-00505689c994|1||0
542484ca-bfa2-11f0-b2ca-0050569f27c0|2dad9043-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
